global_index,satellite_id,mean_I,mean_Q,var_I,var_Q,std_I,std_Q,max_I,max_Q,min_I,min_Q,skew_I,skew_Q,kurt_I,kurt_Q,median_I,median_Q,iqr_I,iqr_Q,signal_power,iq_ratio,iq_correlation,papr,zero_crossing_rate,fft_mean_magnitude,peak_frequency,spectral_centroid,bandwidth,occupied_bandwidth
6454,87,-0.0011299209601857,-0.0010543506944091364,0.0010388489529079188,0.00101944808221887,0.032231179824944646,0.03192879706814634,0.05361871421337128,0.052839018404483795,-0.05098850280046463,-0.04815738648176193,0.1765862895334176,0.1583420905411786,-1.589711627962333,-1.5622270133771972,-0.007100432412698865,-0.005206266418099403,0.06386479083448648,0.0635010008700192,0.002060685411889857,1.0094705339556929,0.97893637616091,2.3682358786448474,0.0004545867806164197,0.3928335569077157,2272.7272727272725,707.2791050800524,105037.34227380199,197727.2727272727
6455,87,0.00038844452591927785,0.0003412432957073344,0.0009818591071183592,0.000978743571222038,0.0313346311150835,0.03128487767631573,0.04937290400266647,0.04949968680739403,-0.0472339503467083,-0.04415101185441017,0.1063535859725025,0.09956128372798068,-1.6468974481938257,-1.642281548357026,-0.004511892795562744,-0.003360658069141209,0.06523568509146571,0.06289420695975423,0.0019608700144769786,1.001590335090408,0.9831526170761925,2.232505001185369,0.0004545867806164197,0.39814751380255736,-2272.7272727272725,399.97135181248217,111157.54772715236,186363.63636363635
6456,87,-7.812224908451009e-05,7.57749399501997e-05,0.0007576608867427022,0.0007469476471923499,0.027525640532832334,0.027330342976119967,0.04830173775553703,0.04442638158798218,-0.04134940356016159,-0.04011041298508644,0.12486625210399055,0.11595278607744941,-1.6288999765148313,-1.6391803062571861,-0.004005651921033859,-0.0027992650866508484,0.05615028226748109,0.0549250184558332,0.001504620378862379,1.007145814338408,0.9907707805217619,2.5081303357978033,0.0004545867806164197,0.3426328306511102,-2272.7272727272725,-60.8570201718974,109811.9569030986,197727.2727272727
6457,87,-0.0007772868325466995,-0.0006218207440382354,0.0009592588879581641,0.001150596441035038,0.030971904816432652,0.03392044281897036,0.04880707338452339,0.057337015867233276,-0.04414829984307289,-0.051098331809043884,0.14134199042608603,0.16000753645430318,-1.6060535257431323,-1.6263233489594628,-0.005997577914968133,-0.00815941533073783,0.06202378682792187,0.06909055262804031,0.0021108461648509684,0.913074896507875,0.9887055572103971,2.536030073740258,0.0004545867806164197,0.3895154892484212,-2272.7272727272725,257.5371798801109,102531.0314140938,161363.63636363635
6458,87,-0.00012442873827404294,0.0005261187008594355,0.00013142512662180715,0.00011521544211580698,0.01146407984191523,0.010733845634990611,0.02399841696023941,0.02310772053897381,-0.019992638379335403,-0.02017088234424591,0.046342486404443314,0.05057790437579498,-1.402607598614767,-1.1893139850175212,-0.0006196443864610046,0.0006064861954655498,0.021655820310115814,0.018749968148767948,0.0002469328521359166,1.0680309957639202,0.8402788806774918,2.8909711296648593,0.0010000909173561233,0.16376760220914718,2272.7272727272725,4442.13808996368,113451.1915826146,372727.2727272727
6459,87,0.00020037478884461795,-0.00029209454825726507,0.00022773034389358187,0.00023344868334155072,0.015090737022875386,0.015279027565311567,0.02923339046537876,0.026928015053272247,-0.026578854769468307,-0.024615395814180374,0.062159524009595714,0.1070692968925623,-1.4550890424342902,-1.5511038692720513,0.0005643593322020024,-0.0014658953878097236,0.02870066580362618,0.030665890080854297,0.0004613044965162587,0.9876765362434673,0.9411940583044148,2.8564331542483634,0.0010000909173561233,0.2072028959754467,2272.7272727272725,964.7807634409331,115375.46545443834,304545.45454545453
6460,87,0.0001989544352525172,-0.00018948745164421284,0.0006017818163427617,0.0006110232085725446,0.024531241638831934,0.024718883643331156,0.03657064586877823,0.040424738079309464,-0.03694391995668411,-0.03654851019382477,0.08542731015902845,0.09688987378107987,-1.6312072503346071,-1.6501238276187178,-0.0036518756533041596,-0.002486826037056744,0.049338352866470814,0.049961752723902464,0.0012128805132769435,0.9924089612133498,0.9877429645988368,2.3190931878913386,0.0008182562051095554,0.3041535127994893,2272.7272727272725,111.5046585219204,105439.24943160286,188636.36363636362
6461,87,0.0005486706515932218,0.0006896678222899856,0.0009748005485228879,0.0009124234357638214,0.031221796048960537,0.03020634760714743,0.04950005188584328,0.04914643242955208,-0.044742777943611145,-0.04400838166475296,0.059806121339347054,0.08119223140778807,-1.6344962555490012,-1.6326538331583638,-0.0011627112398855388,-0.000467662321170792,0.06155818281695247,0.062389046885073185,0.0018880006654757309,1.0336170547667547,0.9873759766230714,2.375656579001869,0.0004545867806164197,0.36738766584722593,-2272.7272727272725,99.45193456078381,103313.05429886247,181818.18181818182
6462,87,-0.00012101094569128567,-0.00023260486550754484,0.0003438404199802288,0.00031252399328403455,0.018542934502937466,0.01767834814919184,0.03156440705060959,0.02972416765987873,-0.02999821864068508,-0.029494930058717728,0.0638318703340735,0.025680358513866897,-1.4921078067997418,-1.5725256329660893,-0.0003291969042038545,-0.0021579295862466097,0.03580357600003481,0.03418455179780722,0.0006564331619366982,1.0489065124438763,0.9487649686094796,2.5572694421700537,0.0010000909173561233,0.2295463768179585,2272.7272727272725,1189.8849477074198,99532.15790627072,281818.18181818177
6463,87,-0.00025499735895082476,-0.0005614596982274881,0.0005848214265930422,0.00048466132892930166,0.02418308141228165,0.022015025072193346,0.03892720118165016,0.033461473882198334,-0.033536918461322784,-0.031473308801651,0.12056578966686475,0.10411639492013258,-1.6425046302699398,-1.6334510792594568,-0.0025357964914292097,-0.002668139641173184,0.0483609982766211,0.0453351279720664,0.0010698630161681492,1.0984807572545863,0.9873164343513035,2.341288201449415,0.0004545867806164197,0.2821714380205202,2272.7272727272725,31.274052635232458,104098.6814589144,195454.54545454544
