global_index,cfo_hz,cfo_std_hz,cfo_iqr_hz,cfo_drift_hz_per_ms,cfo_skew,cfo_kurt,iq_gain_imbalance_db,iq_phase_error_deg,dc_offset_i,dc_offset_q,dc_offset_mag,envelope_cv,envelope_slope,papr_db,envelope_kurt,constellation_spread_deg,evm_proxy,phase_jitter,seg1_power_ratio,seg2_power_ratio,seg3_power_ratio,seg4_power_ratio,skew_i_norm,skew_q_norm,kurt_i_norm,kurt_q_norm,satellite_id
6277,5619.423244959925,63419.22442007926,25555.349536016263,10724.777770822067,17.289102140557038,566.6281653966277,-0.3218167138540692,72.8130481423081,-0.00953474114329424,-0.000848585429049277,0.009572428422298215,0.380415035977779,-0.06331722869317652,4.569543407598166,-0.3855697103517848,49.65646593699465,0.380415035977779,0.019728814655533968,1.0090085684494843,0.9910320414636979,1.0138739809382757,0.9860854091485417,0.07739625527751232,0.11021339443772651,-1.5508955286381672,-1.534978127006816,87
6278,-3385.2954641019405,59667.6500401181,12197.388512555057,-533.0034357222303,-17.617741070270025,497.0219390956013,0.1822298973210759,80.919461715068,-0.026383928719136685,-0.021419985478996276,0.03398422387780684,0.3852377144419356,0.057592996158249976,3.487615535862565,-0.09287965668243592,32.52472705783288,0.3852377144419356,0.01722350452269822,0.8922513443347568,1.0553626787248798,0.9894477390646768,1.0629382378756862,0.15988774365703487,0.14900539484981426,-1.6366834669424855,-1.6052602039705237,85
6280,1110.1029649321338,45224.980490653965,20336.221391786054,-33588.81134145571,-1.4725827414937445,67.69216801311418,-1.527211819159039,76.12676831311927,-0.0008410979837834495,-0.00893246047481435,0.008971972801588578,0.3671648470131226,-0.052870013464850076,3.8324879320258254,-0.20760977190893204,39.15522461737321,0.3671648470131226,0.0041494070672658465,0.909711364816665,1.1020848554230516,1.036684916715848,0.9515188630444358,0.12734224177211528,0.11217335419989534,-1.5954619566136077,-1.6269305630773347,87
6281,-1218.3250251812121,46317.39257584311,16726.82617858926,12912.6542139603,-6.330975544464756,114.59136130333445,1.225587977361231,77.78429670039293,0.010706975877832023,0.002438851934580684,0.01098122630707904,0.40042646853534003,-0.013798929317943841,4.43837943987638,-0.2313889994592846,38.328668388112355,0.40042646853534003,0.005831524581251104,0.9257195782490084,1.0593947891852944,1.060966519349424,0.9539191132162732,0.11778409571694033,0.08601870065959404,-1.5918140164053325,-1.5479868478610275,85
6283,1104.3435112078664,51223.90529646093,31284.68617390995,44616.14697304833,-2.288538486958985,57.60141540107172,0.3407280642032437,74.71433397003184,-0.015222814538485356,-0.008996467218140444,0.017682491478301265,0.348154954400511,-0.07302287299821497,3.4170756286188473,0.029143044582267574,40.21149468802449,0.348154954400511,0.0053167749780715055,0.9735195658285659,1.083860537830488,1.0416192639905189,0.9010006323504275,0.08758877728721705,0.05943853568254279,-1.6462588842157706,-1.629301245644785,85
6284,-3427.215722125374,36930.591570192715,16995.64114269949,-18357.25390289586,-14.019113559568472,373.76021766486997,-1.5974399615522097,76.5400562880766,0.009538073530508954,0.015283719400227028,0.018015741044383148,0.37845127397998757,0.0004502265161620341,3.799875875936314,-0.4401343105838258,38.665768312955805,0.37845127397998757,0.005905064103841728,0.9416378606391478,1.010918079642898,1.0773532926208096,0.9700907670971445,0.03461460510654783,0.08820527868907045,-1.5929537534824443,-1.6251159899857868,87
6285,3385.0419110287003,60202.37092400558,19601.780499780027,-6533.569910583644,11.872802737143775,221.82355564974515,-0.8270251969838998,76.3030336492537,-0.026859705794439317,0.016786682948274824,0.03167390913306625,0.38686491359272335,-0.03543046167711041,4.3797728282824835,-0.2618538436527995,39.902750734776106,0.38686491359272335,0.01300249801630464,0.936623900275145,1.0482156741126631,1.0560948225634879,0.9590656030487043,0.077191108787438,0.0852426741271081,-1.5955740109966843,-1.5593024754630145,85
6286,-3472.535497434386,35948.62569056155,15641.656513320768,-17635.360783495882,0.3722993222160431,69.03815045125491,0.5586296072278472,80.62909902016644,0.0035599550393041928,-0.0029112348723055923,0.004598757262956534,0.37845478443290737,-0.09194155068703706,3.7035837087501626,-0.30052521957744416,34.676658917569185,0.37845478443290737,0.002461502909279674,0.9592340723243972,1.0982803175771678,0.990773834097465,0.9517117760009701,0.09049014168077052,0.08475268524101548,-1.6278535983575495,-1.643553885877058,87
6287,-1224.6930703777052,41583.96518639931,19361.541007141946,-44432.776972451684,-2.9901475116749583,43.09010010941824,-0.33654476641010667,77.25172439326124,-0.012123873222484018,-0.013469459587432508,0.018122214089132227,0.38786164407348656,-0.06322913950330407,4.029665231033056,-0.21503863130761047,37.97367305934664,0.38786164407348656,0.0030523911762697174,0.9790864898412158,1.0596953269754013,1.0148753349057462,0.9463428482776367,0.08572162373463237,0.13132339979488164,-1.5717366194626576,-1.613450447026214,85
6288,-5.838949208593555,50332.62849964595,10993.155681236794,-2464.277339206631,-5.082608626603087,476.87088937740214,-0.019389072197523907,83.4420352266009,-0.01941913180626009,-0.014956604127494406,0.024511276734097,0.38623552931046,-0.031268128336202516,3.611289622947185,0.031003983518636424,25.22773988702772,0.38623552931046,0.03983163154595081,0.9310368279680704,1.0792777768285229,1.0145553817482171,0.9751300134551907,0.1623802118349138,0.15718271524417374,-1.6398886367289656,-1.6288291664907073,87
