global_index,ampm_correlation,ampm_slope_deg,ampm_q1_deg,ampm_q4_deg,ampm_range_deg,ampm_curvature,ccdf_1db,ccdf_3db,ccdf_6db,ccdf_9db,papr_deficit_db,acpr_lower_db,acpr_upper_db,acpr_mean_db,acpr_asymmetry_db,occupied_fraction,const_spread_q1_deg,const_spread_q2_deg,const_spread_q3_deg,const_spread_q4_deg,satellite_id
26506,0.01616107448778403,1.7806667177082736,6.088393243486778,6.825006587882879,12.4474536003624,0.44411720883942896,0.3491818181818182,0.03418181818181818,0.0,0.0,-1.089714980160121,-15.026990543143954,-17.3686823174353,-16.197836430289627,-2.3416917742913466,0.0011818181818181819,51.01732981322567,14.690062379564427,13.327159274691626,10.3375266985452,51
26507,0.0935886772515451,9.59785304666079,4.275596188244591,11.462289778085202,9.7504587883555,-0.21581873928702613,0.33845454545454545,0.04654545454545454,0.0,0.0,0.06737727179612918,-17.249348088219968,-14.398015842016815,-15.823681965118391,2.851332246203153,0.0011818181818181819,84.8470793718364,41.84145655659907,35.357752638033595,31.998255904188298,92
26508,-0.15932550538208926,-17.66023724673498,3.145959286069951,-12.642747213021462,17.427556945092736,-0.6515502264274414,0.3438181818181818,0.03927272727272727,0.0,0.0,-0.819491628673763,-13.924533003432462,-16.055640389056702,-14.990086696244582,-2.13110738562424,0.0011818181818181819,55.609322177659635,25.715430193871175,21.12837267003844,15.864891275349363,51
26509,0.05325395286204661,5.835030464677334,9.461638194914105,8.998633451968479,10.084303613142858,0.001734050006324865,0.34454545454545454,0.056818181818181816,0.0,0.0,-1.0932441906178116,-17.590234919215412,-15.142640877729303,-16.366437898472356,2.4475940414861093,0.0011818181818181819,53.77284852807668,15.887184312659556,14.583080647029647,11.260255778880005,51
26510,-0.06935505765328868,-7.663050411222805,7.6378387479528005,-4.266704791890589,13.156290113946833,-0.6926589941139213,0.35754545454545456,0.031636363636363636,0.0,0.0,-1.5062960223865227,-14.581286819113258,-16.081464054303854,-15.331375436708555,-1.5001772351905966,0.0011818181818181819,55.757971368662034,18.7735006368991,16.02649987310636,12.101930918292135,51
26511,0.06602708188757521,6.718848353385328,3.123897694066524,10.916239324578768,7.792341630512244,-0.025827140739532174,0.34563636363636363,0.05018181818181818,0.0,0.0,-0.679217364655333,-15.300473788732276,-14.27928428625987,-14.789879037496073,1.0211895024724065,0.0011818181818181819,83.8259890934007,34.480499461810126,25.654638809927587,20.678936212231527,92
26512,-0.07262862003432337,-7.946182703813109,5.857937429284253,-2.1378843759654256,17.390709728583676,-0.16782473728327138,0.3410909090909091,0.04681818181818182,0.0,0.0,-0.7669203702560861,-17.783503404742206,-15.422882420806076,-16.60319291277414,2.36062098393613,0.0011818181818181819,56.648155476654246,17.06394018224859,12.773638348652584,12.359466131465146,51
26513,-0.06444638378047421,-6.70373945824348,2.3506689395825706,-7.478712713442766,10.930608311487306,0.02003647431320934,0.3529090909090909,0.04718181818181818,0.0,0.0,-0.5735682089272061,-13.293102324562005,-17.45331109674299,-15.373206710652497,-4.160208772180985,0.0013636363636363637,93.87213895583567,34.543841784442904,28.087214187662806,24.69493146090002,51
26514,0.016609673198362398,1.6332695089684637,-3.235772789364755,-0.49950869424272404,8.4744997889005,0.4950670786901451,0.3078181818181818,0.07227272727272727,0.0,0.0,0.29073252708688013,-18.29424784349261,-16.30422009895272,-17.299233971222662,1.9900277445398906,0.0015454545454545454,86.93840092043463,49.794363959766244,39.2545292770601,26.676993126044383,92
26515,0.07289172635602642,6.255680942251299,0.012680564835483877,7.160902572044205,7.148222007208722,-0.02393102279850981,0.3532727272727273,0.08945454545454545,0.0,0.0,0.2056452949241736,-14.564167426857498,-16.479597511210706,-15.521882469034102,-1.9154300843532077,0.002818181818181818,136.88607065599453,71.53785010405335,50.23743160298743,42.94932727695772,51
26516,0.031389648739055205,3.3015000843610354,-4.756648843830313,-4.452420441455552,9.278592602232703,-0.34609077511045644,0.3519090909090909,0.044636363636363634,0.0,0.0,-1.1391707846637371,-14.498975568490032,-16.62449071451131,-15.561733141500671,-2.1255151460212787,0.0011818181818181819,76.6803108326427,36.60841301402687,26.08123329173697,20.389277437446253,51
26517,0.101120347009286,10.271782132100206,6.270965196192,16.593511526165916,10.322546329973914,0.03014402065300968,0.3567272727272727,0.041545454545454545,0.0,0.0,-1.2473009472477652,-14.165754771771795,-16.24825784398985,-15.207006307880823,-2.0825030722180564,0.0011818181818181819,60.68285369433092,22.899859196883266,24.051237587613674,17.33541945421168,51
26518,-0.1578391423457609,-17.428480700174656,5.537727101751286,-12.24501668181548,17.782743783566765,-0.1860386639965274,0.3118181818181818,0.056818181818181816,0.0,0.0,-0.7253279586122634,-12.817964056408204,-16.031558519678246,-14.424761288043225,-3.2135944632700415,0.0013636363636363637,72.88542606202185,32.06546677366129,19.590220436524692,18.460238290190784,51
26519,0.062493054019800126,6.541449035918377,0.7311289315827777,7.313365400965754,6.582236469382976,0.19207080640718308,0.37154545454545457,0.049727272727272724,0.0,0.0,-0.3046062269090628,-16.47589040126007,-15.099176888989563,-15.787533645124817,1.3767135122705074,0.0011818181818181819,73.21411295560192,25.40404758227701,22.233952970713574,20.12812984649483,51
26520,-0.06887457502297024,-7.198541522711845,17.81450270949716,9.017339037843195,11.326237052144206,-0.6052853944519038,0.35563636363636364,0.03754545454545455,0.0,0.0,-1.2449112765515742,-14.348968452740216,-16.543615351622435,-15.446291902181326,-2.194646898882219,0.0011818181818181819,45.55342141758865,17.771153687899407,19.100145698096856,13.420755130283505,51
26521,0.07128486875500402,6.6522399917496955,3.816000032596,8.226906434371527,4.67865149124483,-0.061841898556950985,0.3422727272727273,0.08445454545454545,0.0,0.0,-0.3694860878161794,-12.717853568083182,-17.820410697761353,-15.269132132922268,-5.102557129678171,0.0019090909090909091,98.55445643020391,58.69980554117015,42.320066546558564,36.82004240457549,51
26522,0.08086496738458834,8.949310032776886,3.2605679041997133,9.469842823745557,15.17529562623371,0.0706520408876453,0.3523636363636364,0.04281818181818182,0.0,0.0,-1.1916415932960218,-16.94884367415788,-13.582937273413906,-15.265890473785895,3.3659064007439756,0.0011818181818181819,63.563221275471996,21.11939410738535,12.895762484018842,14.41977580353929,51
26523,-0.015954921494147324,-1.8370797624538888,-0.12389784908116193,-4.984611862243252,9.541268900961187,-0.4974998920536461,0.3779090909090909,0.035727272727272726,0.0,0.0,-1.5402100479005236,-14.152875451571967,-16.184067876753463,-15.168471664162716,-2.031192425181496,0.0011818181818181819,50.823611262255156,19.830218690442425,13.376356483478476,10.106848255200491,51
26524,0.08879121884207118,8.85796293496352,1.9953729388217856,11.038786353170563,12.89163244920989,0.2267770230690994,0.3180909090909091,0.07827272727272727,0.0,0.0,0.463133686889865,-13.769881558190683,-16.105692072040135,-14.937786815115409,-2.3358105138494523,0.0017272727272727272,98.65830837919113,49.68834098565919,43.466829831187404,34.1285267035747,51
26525,0.045708065115501816,5.065440901511955,6.665565108808319,11.135060746340773,4.4694956375324555,0.05814496385029917,0.3220909090909091,0.066,0.0,0.0,-0.8034391831917027,-14.856361677317855,-17.78325195173489,-16.319806814526373,-2.926890274417035,0.0011818181818181819,52.66018139415367,17.54981558262635,15.069779091065707,11.563730922105357,51
