threshold,FRR,FAR
0.314,0.9197080291970803,0.05879967558799676
0.316,0.9237631792376317,0.05373073803730738
0.318,0.9237631792376317,0.05373073803730738
0.32,0.9237631792376317,0.05373073803730738
0.322,0.9294403892944039,0.049067315490673155
0.324,0.9294403892944039,0.049067315490673155
0.326,0.9326845093268451,0.04460665044606651
0.328,0.9326845093268451,0.04460665044606651
0.33,0.9326845093268451,0.04460665044606651
0.332,0.9375506893755069,0.03852392538523925
0.334,0.9375506893755069,0.03852392538523925
0.336,0.9440389294403893,0.033049472830494725
0.338,0.9440389294403893,0.033049472830494725
0.34,0.9440389294403893,0.033049472830494725
0.342,0.9472830494728305,0.030616382806163828
0.34400000000000003,0.9472830494728305,0.030616382806163828
0.34600000000000003,0.9537712895377128,0.027169505271695052
0.34800000000000003,0.9537712895377128,0.027169505271695052
0.35000000000000003,0.959448499594485,0.025952960259529603
0.352,0.959448499594485,0.025952960259529603
0.354,0.959448499594485,0.025952960259529603
0.356,0.9618815896188159,0.02331711273317113
0.358,0.9618815896188159,0.02331711273317113
0.36,0.9618815896188159,0.02331711273317113
0.362,0.9651257096512571,0.021289537712895375
0.364,0.9651257096512571,0.021289537712895375
0.366,0.9683698296836983,0.018856447688564478
0.368,0.9683698296836983,0.018856447688564478
0.37,0.9683698296836983,0.018856447688564478
0.372,0.9708029197080292,0.016828872668288728
0.374,0.9708029197080292,0.016828872668288728
0.376,0.9724249797242498,0.01662611516626115
0.378,0.9724249797242498,0.01662611516626115
0.38,0.9724249797242498,0.01662611516626115
0.382,0.9748580697485807,0.015409570154095702
0.384,0.9748580697485807,0.015409570154095702
0.386,0.975669099756691,0.014598540145985401
0.388,0.975669099756691,0.014598540145985401
0.39,0.975669099756691,0.014598540145985401
0.392,0.9781021897810219,0.012773722627737226
0.394,0.9781021897810219,0.012773722627737226
0.396,0.9805352798053528,0.0113544201135442
0.398,0.9805352798053528,0.0113544201135442
0.4,0.9805352798053528,0.0113544201135442
0.402,0.9837793998377939,0.009732360097323601
0.404,0.9837793998377939,0.009732360097323601
0.406,0.9837793998377939,0.00851581508515815
0.40800000000000003,0.9837793998377939,0.00851581508515815
0.41000000000000003,0.9854014598540146,0.0072992700729927005
0.41200000000000003,0.9854014598540146,0.0072992700729927005
0.41400000000000003,0.9854014598540146,0.0072992700729927005
0.41600000000000004,0.9878345498783455,0.0062854825628548255
0.418,0.9878345498783455,0.0062854825628548255
0.42,0.9878345498783455,0.0062854825628548255
0.422,0.9878345498783455,0.005474452554744526
0.424,0.9878345498783455,0.005474452554744526
0.426,0.9886455798864558,0.004460665044606651
0.428,0.9886455798864558,0.004460665044606651
0.43,0.9886455798864558,0.004460665044606651
0.432,0.9902676399026764,0.0036496350364963502
0.434,0.9902676399026764,0.0036496350364963502
0.436,0.9927007299270073,0.0032441200324412004
0.438,0.9927007299270073,0.0032441200324412004
0.44,0.9927007299270073,0.0032441200324412004
0.442,0.9927007299270073,0.00283860502838605
0.444,0.9927007299270073,0.00283860502838605
0.446,0.9935117599351176,0.00283860502838605
0.448,0.9935117599351176,0.00283860502838605
0.45,0.9935117599351176,0.00283860502838605
0.452,0.9951338199513382,0.0024330900243309003
0.454,0.9951338199513382,0.0024330900243309003
0.456,0.9959448499594485,0.0022303325223033254
0.458,0.9959448499594485,0.0022303325223033254
0.46,0.9959448499594485,0.0022303325223033254
0.462,0.9959448499594485,0.00202757502027575
0.464,0.9959448499594485,0.00202757502027575
0.466,0.9959448499594485,0.0018248175182481751
0.468,0.9959448499594485,0.0018248175182481751
0.47000000000000003,0.9959448499594485,0.0018248175182481751
0.47200000000000003,0.9959448499594485,0.0018248175182481751
0.47400000000000003,0.9959448499594485,0.0018248175182481751
0.47600000000000003,0.9967558799675588,0.0018248175182481751
0.47800000000000004,0.9967558799675588,0.0018248175182481751
0.48,0.9967558799675588,0.0018248175182481751
0.482,0.9967558799675588,0.0016220600162206002
0.484,0.9967558799675588,0.0016220600162206002
0.486,0.9975669099756691,0.001419302514193025
0.488,0.9975669099756691,0.001419302514193025
0.49,0.9975669099756691,0.001419302514193025
0.492,0.9983779399837794,0.0008110300081103001
0.494,0.9983779399837794,0.0008110300081103001
0.496,0.9983779399837794,0.0006082725060827251
