case_type,global_index,true_sat,claimed_sat,rf_match,confidence_band,hmac_pass,freshness_pass,decision,combined_caught,higher_layer_only_caught
genuine,258,85,85,False,high,True,True,reject,True,False
genuine,259,92,92,True,middle,True,True,flag,False,False
genuine,260,109,109,False,low,True,True,flag,False,False
genuine,261,109,109,False,middle,True,True,flag,False,False
genuine,262,51,51,False,high,True,True,reject,True,False
genuine,263,85,85,True,high,True,True,accept,False,False
genuine,264,92,92,True,middle,True,True,flag,False,False
genuine,265,85,85,False,high,True,True,reject,True,False
genuine,266,51,51,False,middle,True,True,flag,False,False
genuine,267,85,85,False,high,True,True,reject,True,False
genuine,268,109,109,True,low,True,True,flag,False,False
genuine,269,87,87,False,middle,True,True,flag,False,False
genuine,270,51,51,False,high,True,True,reject,True,False
genuine,271,87,87,True,middle,True,True,flag,False,False
genuine,272,92,92,False,high,True,True,reject,True,False
genuine,273,87,87,False,middle,True,True,flag,False,False
genuine,274,87,87,False,middle,True,True,flag,False,False
genuine,275,85,85,True,high,True,True,accept,False,False
genuine,276,87,87,True,middle,True,True,flag,False,False
genuine,277,51,51,False,middle,True,True,flag,False,False
genuine,278,51,51,True,high,True,True,accept,False,False
genuine,279,85,85,True,low,True,True,flag,False,False
genuine,280,109,109,True,middle,True,True,flag,False,False
genuine,281,51,51,False,middle,True,True,flag,False,False
genuine,282,109,109,False,low,True,True,flag,False,False
genuine,283,85,85,True,high,True,True,accept,False,False
genuine,284,85,85,False,low,True,True,flag,False,False
genuine,285,109,109,False,high,True,True,reject,True,False
genuine,286,87,87,False,middle,True,True,flag,False,False
genuine,287,87,87,False,low,True,True,flag,False,False
genuine,288,85,85,True,high,True,True,accept,False,False
genuine,289,109,109,True,low,True,True,flag,False,False
genuine,290,109,109,False,low,True,True,flag,False,False
genuine,291,85,85,False,high,True,True,reject,True,False
genuine,292,87,87,False,middle,True,True,flag,False,False
genuine,293,51,51,False,high,True,True,reject,True,False
genuine,294,109,109,True,middle,True,True,flag,False,False
genuine,295,109,109,False,low,True,True,flag,False,False
genuine,296,92,92,False,high,True,True,reject,True,False
genuine,297,51,51,False,high,True,True,reject,True,False
genuine,298,109,109,False,middle,True,True,flag,False,False
genuine,299,87,87,False,low,True,True,flag,False,False
genuine,300,109,109,True,high,True,True,accept,False,False
genuine,301,109,109,False,middle,True,True,flag,False,False
genuine,302,87,87,False,middle,True,True,flag,False,False
genuine,303,85,85,True,middle,True,True,flag,False,False
genuine,304,109,109,False,high,True,True,reject,True,False
genuine,305,92,92,False,low,True,True,flag,False,False
genuine,306,109,109,False,low,True,True,flag,False,False
genuine,307,51,51,False,middle,True,True,flag,False,False
genuine,308,85,85,True,low,True,True,flag,False,False
genuine,309,109,109,False,low,True,True,flag,False,False
genuine,310,92,92,False,low,True,True,flag,False,False
genuine,311,92,92,False,high,True,True,reject,True,False
genuine,312,87,87,False,high,True,True,reject,True,False
genuine,313,51,51,False,high,True,True,reject,True,False
genuine,314,85,85,True,high,True,True,accept,False,False
genuine,315,87,87,True,middle,True,True,flag,False,False
genuine,316,92,92,False,low,True,True,flag,False,False
genuine,317,85,85,True,low,True,True,flag,False,False
genuine,318,109,109,False,low,True,True,flag,False,False
genuine,319,92,92,False,low,True,True,flag,False,False
genuine,320,87,87,False,low,True,True,flag,False,False
genuine,321,92,92,False,low,True,True,flag,False,False
genuine,322,85,85,True,middle,True,True,flag,False,False
genuine,323,87,87,False,middle,True,True,flag,False,False
genuine,324,87,87,True,low,True,True,flag,False,False
genuine,325,109,109,False,high,True,True,reject,True,False
genuine,326,85,85,False,middle,True,True,flag,False,False
genuine,327,85,85,False,low,True,True,flag,False,False
genuine,328,51,51,True,low,True,True,flag,False,False
genuine,329,87,87,False,high,True,True,reject,True,False
genuine,330,109,109,True,high,True,True,accept,False,False
genuine,331,85,85,True,middle,True,True,flag,False,False
genuine,332,92,92,True,middle,True,True,flag,False,False
genuine,333,87,87,False,low,True,True,flag,False,False
genuine,334,85,85,False,high,True,True,reject,True,False
genuine,335,85,85,False,high,True,True,reject,True,False
genuine,336,92,92,False,low,True,True,flag,False,False
genuine,337,51,51,True,low,True,True,flag,False,False
genuine,338,85,85,False,middle,True,True,flag,False,False
genuine,339,51,51,False,low,True,True,flag,False,False
genuine,340,109,109,False,high,True,True,reject,True,False
genuine,341,109,109,False,high,True,True,reject,True,False
genuine,342,87,87,False,low,True,True,flag,False,False
genuine,343,109,109,False,low,True,True,flag,False,False
genuine,344,87,87,True,low,True,True,flag,False,False
genuine,345,109,109,False,high,True,True,reject,True,False
genuine,346,85,85,False,low,True,True,flag,False,False
genuine,347,51,51,True,low,True,True,flag,False,False
genuine,348,85,85,False,middle,True,True,flag,False,False
genuine,349,87,87,True,middle,True,True,flag,False,False
genuine,350,85,85,True,low,True,True,flag,False,False
genuine,351,85,85,False,low,True,True,flag,False,False
genuine,352,85,85,True,low,True,True,flag,False,False
genuine,353,85,85,False,low,True,True,flag,False,False
genuine,354,85,85,True,high,True,True,accept,False,False
genuine,355,51,51,True,low,True,True,flag,False,False
genuine,356,87,87,False,low,True,True,flag,False,False
genuine,357,51,51,False,high,True,True,reject,True,False
genuine,358,51,51,False,low,True,True,flag,False,False
genuine,359,109,109,True,high,True,True,accept,False,False
genuine,360,87,87,False,high,True,True,reject,True,False
genuine,361,85,85,True,low,True,True,flag,False,False
genuine,362,109,109,False,low,True,True,flag,False,False
genuine,363,92,92,False,low,True,True,flag,False,False
genuine,364,51,51,True,high,True,True,accept,False,False
genuine,365,92,92,False,middle,True,True,flag,False,False
genuine,366,85,85,False,middle,True,True,flag,False,False
genuine,367,109,109,False,middle,True,True,flag,False,False
genuine,368,51,51,False,middle,True,True,flag,False,False
genuine,369,87,87,False,low,True,True,flag,False,False
genuine,370,87,87,False,high,True,True,reject,True,False
genuine,371,51,51,False,middle,True,True,flag,False,False
genuine,372,51,51,False,middle,True,True,flag,False,False
genuine,373,109,109,False,middle,True,True,flag,False,False
genuine,374,92,92,True,middle,True,True,flag,False,False
genuine,375,51,51,False,low,True,True,flag,False,False
genuine,376,92,92,True,high,True,True,accept,False,False
genuine,377,92,92,False,low,True,True,flag,False,False
genuine,378,109,109,False,low,True,True,flag,False,False
genuine,379,51,51,False,high,True,True,reject,True,False
genuine,380,87,87,False,middle,True,True,flag,False,False
genuine,381,92,92,True,high,True,True,accept,False,False
genuine,382,109,109,False,high,True,True,reject,True,False
genuine,383,92,92,True,middle,True,True,flag,False,False
genuine,384,85,85,False,high,True,True,reject,True,False
genuine,385,92,92,False,high,True,True,reject,True,False
genuine,386,51,51,False,high,True,True,reject,True,False
genuine,387,85,85,False,high,True,True,reject,True,False
genuine,388,85,85,False,low,True,True,flag,False,False
genuine,389,87,87,False,middle,True,True,flag,False,False
genuine,390,87,87,False,high,True,True,reject,True,False
genuine,391,109,109,False,low,True,True,flag,False,False
genuine,392,85,85,False,high,True,True,reject,True,False
genuine,393,87,87,False,high,True,True,reject,True,False
genuine,394,92,92,False,middle,True,True,flag,False,False
genuine,395,85,85,False,middle,True,True,flag,False,False
genuine,396,92,92,False,high,True,True,reject,True,False
genuine,397,92,92,True,low,True,True,flag,False,False
genuine,398,92,92,False,middle,True,True,flag,False,False
genuine,399,85,85,False,high,True,True,reject,True,False
genuine,400,109,109,False,middle,True,True,flag,False,False
genuine,401,92,92,False,middle,True,True,flag,False,False
genuine,402,87,87,True,high,True,True,accept,False,False
genuine,403,87,87,False,low,True,True,flag,False,False
genuine,404,85,85,False,high,True,True,reject,True,False
genuine,405,85,85,True,middle,True,True,flag,False,False
genuine,406,51,51,False,high,True,True,reject,True,False
genuine,407,109,109,True,middle,True,True,flag,False,False
genuine,408,87,87,True,high,True,True,accept,False,False
genuine,409,87,87,False,low,True,True,flag,False,False
genuine,410,109,109,True,high,True,True,accept,False,False
genuine,411,51,51,False,middle,True,True,flag,False,False
genuine,412,92,92,False,low,True,True,flag,False,False
genuine,413,51,51,False,low,True,True,flag,False,False
genuine,414,92,92,False,middle,True,True,flag,False,False
genuine,415,51,51,True,low,True,True,flag,False,False
genuine,416,92,92,False,middle,True,True,flag,False,False
genuine,417,51,51,False,low,True,True,flag,False,False
genuine,418,85,85,False,high,True,True,reject,True,False
genuine,419,87,87,True,middle,True,True,flag,False,False
genuine,420,51,51,False,middle,True,True,flag,False,False
genuine,421,92,92,False,middle,True,True,flag,False,False
genuine,422,85,85,False,low,True,True,flag,False,False
genuine,423,92,92,False,low,True,True,flag,False,False
genuine,424,51,51,True,low,True,True,flag,False,False
genuine,425,51,51,True,high,True,True,accept,False,False
genuine,426,51,51,False,low,True,True,flag,False,False
genuine,427,51,51,True,high,True,True,accept,False,False
genuine,428,51,51,False,middle,True,True,flag,False,False
genuine,429,87,87,False,middle,True,True,flag,False,False
genuine,430,87,87,True,high,True,True,accept,False,False
genuine,431,109,109,False,high,True,True,reject,True,False
